user_id,candidate_count,relevant_count,precision_at_5,precision_at_10,recall_at_5,ndcg_at_5,ndcg_at_10
U0001,12,4,0.4,0.4,0.5,0.5855700749881526,0.8477774488692934
U0002,12,6,0.8,0.6,0.6666666666666666,0.8304198973631919,0.9238417859169578
U0003,4,2,0.5,0.5,1.0,1.0,1.0
U0004,6,4,0.8,0.6666666666666666,1.0,1.0,1.0
U0005,16,9,0.8,0.6,0.4444444444444444,0.8304198973631918,0.7141985804552847
U0006,9,4,0.8,0.4444444444444444,1.0,1.0,1.0
U0007,10,8,0.8,0.8,0.5,0.8539316501572936,0.9672068480996275
U0008,7,4,0.8,0.5714285714285714,1.0,1.0,1.0
U0009,10,5,0.8,0.5,0.8,0.8687949224876582,0.9818483242455303
U0010,5,2,0.4,0.4,1.0,1.0,1.0
U0011,4,1,0.25,0.25,1.0,0.6309297535714573,0.6309297535714573
U0012,11,5,0.8,0.5,0.8,0.8687949224876582,0.9896062251871525
U0013,11,4,0.4,0.4,0.5,0.6366824387328317,0.905865301574308
U0014,11,9,1.0,0.9,0.5555555555555556,1.0,0.9937947856332161
U0015,11,5,0.6,0.5,0.6,0.6843515475204855,0.9072602453428913
U0016,18,5,0.2,0.3,0.2,0.1460683498427064,0.37993305430007274
U0017,6,3,0.6,0.5,1.0,0.9060254355346823,0.9060254355346823
U0018,10,6,0.8,0.6,0.6666666666666666,0.8687949224876582,0.9617010886504508
U0019,10,6,0.8,0.6,0.6666666666666666,0.8687949224876582,0.9838048780283076
U0020,9,6,0.6,0.6666666666666666,0.5,0.6843515475204855,0.8980061802949082
U0021,19,9,0.6,0.7,0.3333333333333333,0.69921481985085,0.7887368348709887
U0022,5,2,0.4,0.4,1.0,0.8503449055347547,0.8503449055347547
U0023,20,11,0.8,0.8,0.36363636363636365,0.8539316501572934,0.8318477135310891
U0024,10,3,0.6,0.3,1.0,1.0,1.0
U0025,14,7,0.8,0.7,0.5714285714285714,0.7860137352654725,0.9011178066338841
U0026,12,8,0.8,0.8,0.5,0.6608397947263839,0.8232006379497263
U0027,10,5,0.6,0.5,0.6,0.7227265726449518,0.9565912771023182
U0028,8,2,0.2,0.25,0.5,0.30657359638272924,0.5000000000000001
U0029,8,6,1.0,0.75,0.8333333333333334,1.0,1.0
U0030,4,2,0.5,0.5,1.0,1.0,1.0
U0031,9,7,1.0,0.7777777777777778,0.7142857142857143,1.0,0.9911205770005562
U0032,11,5,0.6,0.5,0.6,0.6843515475204855,0.9121559825872436
U0033,8,1,0.2,0.125,1.0,1.0,1.0
U0034,11,5,0.6,0.4,0.6,0.7227265726449518,0.8357799744028239
U0035,11,4,0.8,0.4,1.0,1.0,1.0
U0036,11,8,1.0,0.8,0.625,1.0,0.9918291064614977
U0037,2,1,0.5,0.5,1.0,1.0,1.0
U0038,9,6,0.8,0.6666666666666666,0.6666666666666666,0.7860137352654725,0.9045395669105327
U0039,9,5,0.4,0.5555555555555556,0.4,0.3600546145772339,0.6960167141575119
U0040,13,8,0.8,0.7,0.5,0.8687949224876582,0.9021484053648395
U0041,11,6,0.8,0.6,0.6666666666666666,0.8304198973631919,0.9441592263400607
U0042,12,7,0.8,0.6,0.5714285714285714,0.8687949224876582,0.8702958572419257
U0043,6,3,0.6,0.5,1.0,1.0,1.0
U0044,3,0,0.0,0.0,,0.0,0.0
U0045,10,4,0.8,0.4,1.0,1.0,1.0
U0046,13,6,0.8,0.6,0.6666666666666666,0.6608397947263839,0.7761612682896009
U0047,8,4,0.6,0.5,0.75,0.8318724637288826,0.9709286432396583
U0048,10,6,1.0,0.6,0.8333333333333334,1.0,0.9876712785649564
U0049,9,4,0.6,0.4444444444444444,0.75,0.8318724637288826,0.9709286432396583
U0050,10,4,0.8,0.4,1.0,0.9558295932317544,0.9558295932317544
U0051,15,8,0.8,0.6,0.5,0.8687949224876582,0.8120483967124719
U0052,7,2,0.4,0.2857142857142857,1.0,0.6240505200038378,0.6240505200038378
U0053,6,5,0.8,0.8333333333333334,0.8,0.8539316501572936,0.9747429528567878
U0054,8,1,0.2,0.125,1.0,1.0,1.0
U0055,8,6,1.0,0.75,0.8333333333333334,1.0,0.9876712785649564
U0056,11,5,0.4,0.5,0.4,0.5531464700081437,0.8940043068327739
U0057,7,3,0.6,0.42857142857142855,1.0,0.9060254355346823,0.9060254355346823
U0058,9,6,0.8,0.6666666666666666,0.6666666666666666,0.8687949224876582,0.9838048780283076
U0059,7,4,0.8,0.5714285714285714,1.0,1.0,1.0
U0060,8,5,0.6,0.625,0.6,0.6992148198508501,0.9270192549176082
U0061,10,5,0.8,0.5,0.8,0.7860137352654725,0.9068250379649667
U0062,12,8,1.0,0.7,0.625,1.0,0.9202054614375518
U0063,13,6,0.8,0.6,0.6666666666666666,0.8687949224876582,0.971476156593264
U0064,7,2,0.4,0.2857142857142857,1.0,0.5437713091520254,0.5437713091520254
U0065,10,8,0.8,0.8,0.5,0.8539316501572936,0.9641803458261541
U0066,16,9,1.0,0.8,0.5555555555555556,0.9999999999999999,0.9134627261980166
U0067,9,5,0.8,0.5555555555555556,0.8,0.8539316501572936,0.9747429528567878
U0068,10,7,1.0,0.7,0.7142857142857143,1.0,0.9911205770005562
U0069,10,5,0.8,0.5,0.8,0.8304198973631919,0.9512312000626861
U0070,8,3,0.6,0.375,1.0,0.9469024295259745,0.9469024295259745
U0071,9,3,0.4,0.3333333333333333,0.6666666666666666,0.6508205185601093,0.798861474043042
U0072,9,6,0.6,0.6666666666666666,0.5,0.6548086577531307,0.8883444449388405
U0073,14,5,0.6,0.5,0.6,0.7227265726449518,0.9427731067700877
U0074,6,1,0.2,0.16666666666666666,1.0,0.6309297535714573,0.6309297535714573
U0075,1,1,1.0,1.0,1.0,,
U0076,13,6,0.4,0.5,0.3333333333333333,0.3835663673713356,0.6285753447777185
U0077,11,6,0.8,0.6,0.6666666666666666,0.8539316501572936,0.9484399158780438
U0078,9,4,0.6,0.4444444444444444,0.75,0.8318724637288826,0.9550236580992476
U0079,10,8,1.0,0.8,0.625,1.0,0.9888026041880241
U0080,9,3,0.4,0.3333333333333333,0.6666666666666666,0.7653606369886218,0.9217868789962073
U0081,7,5,1.0,0.7142857142857143,1.0,1.0,1.0
U0082,10,3,0.4,0.3,0.6666666666666666,0.7039180890341348,0.8710785440003372
U0083,12,9,1.0,0.9,0.5555555555555556,1.0,0.9895948844467954
U0084,14,5,0.8,0.5,0.8,0.8539316501572936,0.9669850519151657
U0085,11,9,1.0,0.9,0.5555555555555556,1.0,0.9842184869190971
U0086,10,3,0.4,0.3,0.6666666666666666,0.7653606369886218,0.9325210919548241
U0087,10,2,0.4,0.2,1.0,1.0,1.0
U0088,12,4,0.2,0.4,0.25,0.24630238874072993,0.6330013563386333
U0089,6,4,0.8,0.6666666666666666,1.0,1.0,1.0
U0090,9,5,0.8,0.5555555555555556,0.8,0.8539316501572936,0.9747429528567878
U0091,13,10,0.8,0.8,0.4,0.8687949224876582,0.8512360941594274
U0092,15,10,1.0,0.8,0.5,1.0,0.8603818544462509
U0093,10,6,1.0,0.6,0.8333333333333334,1.0,0.9876712785649564
U0094,5,3,0.6,0.6,1.0,1.0,1.0
U0095,12,6,0.8,0.6,0.6666666666666666,0.8687949224876582,0.9704091209634446
U0096,12,7,0.8,0.7,0.5714285714285714,0.8539316501572936,0.9561626706667605
U0097,6,4,0.8,0.6666666666666666,1.0,0.9047172294870753,0.9047172294870753
U0098,14,9,1.0,0.7,0.5555555555555556,1.0,0.8379265695293113
U0099,13,9,1.0,0.9,0.5555555555555556,1.0,1.0
U0100,10,4,0.6,0.4,0.75,0.787702056960637,0.9178287402913377
U0101,9,6,1.0,0.6666666666666666,0.8333333333333334,1.0,1.0
U0102,12,7,0.6,0.6,0.42857142857142855,0.6843515475204855,0.8147566970208153
U0103,13,6,0.6,0.3,0.5,0.639945385422766,0.5709662133861838
U0104,17,8,0.6,0.5,0.375,0.6548086577531306,0.6488081217425108
U0105,15,5,0.4,0.3,0.4,0.3156484524795145,0.42264158484677833
U0106,9,3,0.4,0.3333333333333333,0.6666666666666666,0.4367467095119258,0.6039071644781282
U0107,14,5,0.6,0.5,0.6,0.7227265726449518,0.9427731067700877
U0108,10,4,0.4,0.4,0.5,0.3973220069685352,0.6595293808496759
U0109,7,3,0.6,0.42857142857142855,1.0,0.9469024295259745,0.9469024295259745
U0110,8,4,0.8,0.5,1.0,1.0,1.0
U0111,10,7,1.0,0.7,0.7142857142857143,1.0,0.9888009031441519
U0112,17,8,1.0,0.7,0.625,0.9999999999999999,0.9120345678990496
U0113,14,9,0.8,0.7,0.4444444444444444,0.8687949224876582,0.8253470553818276
U0114,14,4,0.4,0.3,0.5,0.541399668219907,0.6804558477306827
