user_id,post_id,author_id,age_group,gender,location,professional_field,experience_years,education,network_size,previous_interactions,post_topic,content_type,engagement,author_user_similarity,topic_similarity,post_age_hours,author_experience,author_network_size,network_distance,interaction_probability,interaction,baseline_score,baseline_rank,rank,quota_rank,quota_score
U0002,P01038,A0240,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,Career,Article,0.6001,0.8296,0.7849,1.0,6.4,185,5,0.7143,1,0.7700826525688171,1,1,1,1.0
U0002,P04834,A1398,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,Software,Job Opportunity,0.6658,0.832,0.8949,11.9,12.4,543,4,0.7726,1,0.728598952293396,2,2,2,0.5
U0002,P01579,A0041,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,Data Science,Text,0.8547,0.7585,0.6747,61.7,1.9,197,1,0.7112,0,0.6874880194664001,3,3,3,0.3333333333333333
U0002,P00505,A0223,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,AI,Image,0.4224,0.8829,0.3722,4.3,2.6,313,1,0.6501,1,0.6526519060134888,4,4,4,0.25
U0002,P01957,A0994,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,Machine Learning,Text,0.5518,0.6206,0.9562,19.2,19.0,395,1,0.7522,0,0.5834351778030396,5,5,5,0.2
U0002,P01573,A0710,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,Machine Learning,Video,0.6055,0.1962,0.8248,4.7,4.0,749,2,0.5209,1,0.46704477071762085,6,6,6,0.16666666666666666
U0002,P00624,A0455,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,Finance,Text,0.184,0.8178,0.5768,95.2,2.8,1076,3,0.3983,0,0.3860829174518585,7,7,7,0.14285714285714285
U0002,P03338,A1234,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,Data Science,Text,0.0772,0.451,0.8555,47.9,8.0,371,4,0.3679,0,0.35064753890037537,8,8,8,0.125
U0002,P04833,A1467,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,Finance,Text,0.2361,0.2909,0.5686,14.2,4.5,135,2,0.3441,1,0.326150506734848,9,9,9,0.1111111111111111
U0002,P00461,A1560,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,Design,Video,0.1877,0.3616,0.3292,25.0,8.6,220,1,0.2849,0,0.2693875730037689,10,10,10,0.1
U0002,P03580,A1728,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,Marketing,Job Opportunity,0.373,0.4661,0.2989,9.9,16.2,138,4,0.304,1,0.23973242938518524,11,11,11,0.09090909090909091
U0002,P00149,A0647,26-35,Female,Mumbai,Data Science,3.5,Bachelors,266,9,Leadership,Article,0.0268,0.2612,0.6743,64.3,6.1,266,4,0.1953,0,0.15342189371585846,12,12,12,0.08333333333333333
U0006,P02329,A1293,56+,Female,Pune,Engineering,4.0,Diploma,159,14,Data Science,Article,0.2435,0.8774,0.9545,32.2,6.0,146,3,0.7345,1,0.740100622177124,1,1,1,1.0
U0006,P00263,A0676,56+,Female,Pune,Engineering,4.0,Diploma,159,14,AI,Article,0.5463,0.5765,0.3391,28.6,6.9,193,1,0.4978,1,0.47982025146484375,2,2,2,0.5
