fairness_strength,precision_at_10,recall_at_10,ndcg_at_10,gender_spd,gender_di,age_group_spd,age_group_di,location_spd,location_di,fairness_gap,ndcg_normalized,balanced_score,average_DI,objective_quality,objective_fairness,pareto_optimal
0.0,0.5544996031746032,1.0,0.906167344002693,-0.0073253283708013,0.9866944771864582,-0.0104750084462018,0.981076554557265,-0.0201198316365391,0.9638351356448024,0.02279794420382475,1.0,0.9316061673885254,0.9772020557961753,-0.906167344002693,0.02279794420382475,False
0.1,0.5544996031746032,1.0,0.906167344002693,-0.0067722076163989,0.987692261880291,-0.0093250713319122,0.983141701417504,-0.0191219613728137,0.965608917565215,0.021185706378996638,1.0,0.93644288086301,0.9788142936210034,-0.906167344002693,0.021185706378996638,False
0.2,0.5544996031746032,1.0,0.906167344002693,-0.0062190593631284,0.9886912152027724,-0.0081749550996977,0.9852101784960292,-0.0181240732997025,0.9673847821391424,0.019571274720685317,1.0,0.941286175837944,0.9804287252793147,-0.906167344002693,0.019571274720685317,False
0.3,0.5544996031746032,1.0,0.906167344002693,-0.0056659725118827,0.9896911764688916,-0.0072121874894703,0.9869424770739478,-0.0171260702246,0.9691629037760952,0.01806781422702175,1.0,0.9457965573189344,0.9819321857729782,-0.906167344002693,0.01806781422702175,False
0.4,0.5544996031746032,1.0,0.906167344002693,-0.0051129555485155,0.9906921340773892,-0.0069702858776462,0.9873712356124928,-0.016128060268775,0.9709431000308468,0.016997843426423742,1.0,0.949006469720729,0.9830021565735763,-0.906167344002693,0.016997843426423742,False
0.5,0.5544996031746032,1.0,0.906167344002693,-0.004559970573872,0.9916941572394824,-0.0067282999051119,0.9878007726111108,-0.0151299995256783,0.9727254493297706,0.015926540273211942,1.0,0.9522203791803636,0.9840734597267881,-0.906167344002693,0.015926540273211942,False
0.6,0.5544996031746032,1.0,0.906167344002693,-0.00400695673435,0.992697357881174,-0.0064862585365711,0.988231036805034,-0.0141319176832451,0.9745099026507232,0.014853900887689675,1.0,0.955438297336931,0.9851460991123103,-0.906167344002693,0.014853900887689675,False
0.7,0.5544996031746032,1.0,0.906167344002693,-0.0034540416058023,0.9937015059094916,-0.0062442001396871,0.988661959785672,-0.0131337323362437,0.9762966108870584,0.013779974472592715,1.0,0.9586600765822222,0.9862200255274073,-0.906167344002693,0.013779974472592715,False
0.8,0.5544996031746032,1.0,0.906167344002693,-0.0029011247206326,0.9947067853971688,-0.006002090681173,0.9890936060286456,-0.0121355257651495,0.9780854309518512,0.012704725874111422,1.0,0.9618858223776656,0.9872952741258886,-0.906167344002693,0.012704725874111422,False
0.9,0.5544996031746032,1.0,0.906167344002693,-0.0023482142856726,0.995713184064959,-0.0057599267226212,0.989525982981162,-0.0111373386429284,0.9798762960712044,0.011628178960891522,1.0,0.9651154631173254,0.9883718210391085,-0.906167344002693,0.011628178960891522,False
1.0,0.5544996031746032,1.0,0.906167344002693,-0.0017953991904837,0.9967205405552708,-0.0065500886986183,0.9881027576484344,-0.0101390086327531,0.9816694979932804,0.011169067934338028,1.0,0.9664927961969856,0.988830932065662,-0.906167344002693,0.011169067934338028,True
