gender,age_group,location,sample_count,actual_interaction_rate,predicted_positive_rate,average_prediction_score,accuracy,precision,recall,f1
Female,18-25,Ahmedabad,216,0.4675925925925926,0.5324074074074074,0.5023809512962963,0.7037037037037037,0.6608695652173913,0.7524752475247525,0.7037037037037037
Female,18-25,Bengaluru,590,0.5406779661016949,0.588135593220339,0.5334742129745763,0.7220338983050848,0.723342939481268,0.786833855799373,0.7537537537537538
Female,18-25,Chennai,270,0.4888888888888889,0.5925925925925926,0.524949992962963,0.674074074074074,0.6375,0.7727272727272727,0.6986301369863014
Female,18-25,Delhi,448,0.5357142857142857,0.5647321428571429,0.5262243048214286,0.6941964285714286,0.7035573122529645,0.7416666666666667,0.7221095334685599
Female,18-25,Hyderabad,459,0.5228758169934641,0.6013071895424836,0.5334367488888889,0.681917211328976,0.6702898550724637,0.7708333333333334,0.7170542635658915
Female,18-25,Kolkata,288,0.5381944444444444,0.5868055555555556,0.5341926817013889,0.7430555555555556,0.7396449704142012,0.8064516129032258,0.7716049382716049
Female,18-25,Mumbai,646,0.521671826625387,0.5712074303405573,0.5240603065325078,0.7120743034055728,0.7046070460704607,0.771513353115727,0.7365439093484419
Female,18-25,Other,348,0.5086206896551724,0.5488505747126436,0.5123404671724138,0.7183908045977011,0.7068062827225131,0.7627118644067796,0.7336956521739131
Female,18-25,Pune,287,0.5574912891986062,0.6202090592334495,0.5342857760278745,0.6585365853658537,0.6741573033707865,0.75,0.7100591715976331
Female,26-35,Ahmedabad,319,0.5579937304075235,0.5956112852664577,0.5374600292319749,0.7178683385579937,0.7315789473684211,0.7808988764044944,0.7554347826086957
Female,26-35,Bengaluru,742,0.5107816711590296,0.5363881401617251,0.5129172200673854,0.7102425876010782,0.7060301507537688,0.741424802110818,0.7232947232947233
Female,26-35,Chennai,369,0.5040650406504065,0.5528455284552846,0.5117695687262872,0.6639566395663956,0.6519607843137255,0.7150537634408602,0.6820512820512821
Female,26-35,Delhi,627,0.5279106858054227,0.5980861244019139,0.5268716430223285,0.7256778309409888,0.712,0.8066465256797583,0.7563739376770539
Female,26-35,Hyderabad,509,0.5638506876227898,0.5992141453831041,0.5350547827603144,0.7288801571709234,0.7442622950819672,0.7909407665505227,0.7668918918918919
Female,26-35,Kolkata,284,0.5105633802816901,0.602112676056338,0.5248246845070422,0.6408450704225352,0.6257309941520468,0.7379310344827587,0.6772151898734177
Female,26-35,Mumbai,702,0.5555555555555556,0.5811965811965812,0.5300217029914529,0.7293447293447294,0.7450980392156863,0.7794871794871795,0.7619047619047619
Female,26-35,Other,637,0.4897959183673469,0.5086342229199372,0.5034331028869702,0.7456828885400314,0.7314814814814815,0.7596153846153846,0.7452830188679245
Female,26-35,Pune,413,0.45278450363196127,0.5375302663438256,0.5106177414769976,0.6779661016949152,0.6216216216216216,0.7379679144385026,0.6748166259168704
Female,36-45,Ahmedabad,157,0.46496815286624205,0.5796178343949044,0.5247939728025478,0.7070063694267515,0.6483516483516484,0.8082191780821918,0.7195121951219512
Female,36-45,Bengaluru,500,0.516,0.568,0.523788556836,0.668,0.6619718309859155,0.7286821705426356,0.6937269372693727
Female,36-45,Chennai,148,0.5405405405405406,0.6013513513513513,0.5343310356756756,0.722972972972973,0.7191011235955056,0.8,0.757396449704142
Female,36-45,Delhi,447,0.5548098434004475,0.5749440715883669,0.5306653393400448,0.7248322147651006,0.7431906614785992,0.7701612903225806,0.7564356435643564
Female,36-45,Hyderabad,228,0.5833333333333334,0.5789473684210527,0.5194519890087719,0.7412280701754386,0.7803030303030303,0.7744360902255639,0.7773584905660378
Female,36-45,Kolkata,150,0.5466666666666666,0.6133333333333333,0.5303019085999999,0.6533333333333333,0.6630434782608695,0.7439024390243902,0.7011494252873564
